apsp
0 0 0
0 1 1
0 5 1
0 7 1
0 9 1
0 18 1
1 0 1
1 1 0
1 2 1
1 10 1
1 14 1
1 22 1
2 0 1
2 2 0
2 3 1
2 4 1
2 6 1
2 13 1
2 20 1
2 28 1
3 0 1
3 3 0
3 15 1
3 16 1
4 3 1
4 4 0
4 26 1
4 28 1
5 2 1
5 5 0
5 11 1
5 17 1
5 24 1
6 0 1
6 6 0
6 8 1
7 2 1
7 7 0
7 19 1
8 1 1
8 2 1
8 8 0
8 27 1
9 8 1
9 9 0
9 17 1
10 9 1
10 10 0
10 12 1
10 21 1
11 3 1
11 7 1
11 11 0
11 23 1
11 29 1
12 8 1
12 12 0
12 25 1
12 30 1
13 6 1
13 13 0
13 30 1
14 10 1
14 14 0
14 24 1
15 5 1
15 15 0
15 16 1
15 19 1
16 7 1
16 16 0
16 22 1
16 29 1
17 10 1
17 17 0
17 24 1
17 25 1
18 8 1
18 18 0
19 14 1
19 17 1
19 19 0
20 1 1
20 6 1
20 9 1
20 20 0
20 22 1
21 15 1
21 21 0
21 25 1
22 4 1
22 8 1
22 9 1
22 22 0
22 29 1
23 11 1
23 23 0
23 24 1
23 26 1
23 31 1
24 9 1
24 24 0
25 0 1
25 18 1
25 23 1
25 25 0
25 26 1
26 4 1
26 7 1
26 8 1
26 9 1
26 26 0
26 28 1
27 1 1
27 27 0
27 31 1
28 2 1
28 10 1
28 28 0
29 17 1
29 29 0
30 6 1
30 30 0
31 20 1
31 28 1
31 31 0
----
0 0 0
0 1 1
0 2 2
0 3 3
0 4 3
0 5 1
0 6 3
0 7 1
0 8 2
0 9 1
0 10 2
0 11 2
0 12 3
0 13 3
0 14 2
0 15 4
0 16 4
0 17 2
0 18 1
0 19 2
0 20 3
0 21 3
0 22 2
0 23 3
0 24 2
0 25 3
0 26 4
0 27 3
0 28 3
0 29 3
0 30 4
0 31 4
1 0 1
1 1 0
1 2 1
1 3 2
1 4 2
1 5 2
1 6 2
1 7 2
1 8 2
1 9 2
1 10 1
1 11 3
1 12 2
1 13 2
1 14 1
1 15 3
1 16 3
1 17 3
1 18 2
1 19 3
1 20 2
1 21 2
1 22 1
1 23 4
1 24 2
1 25 3
1 26 3
1 27 3
